link_to_contract_markdown	contract_no	error_1	comment_1	error_2	comment_2	error_3	comment_3
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_2.md	2	Worldwide non-compete is overbroad: Section 11(a) imposes a worldwide restriction covering broadly defined business categories without territorial or role-based limitation, creating serious enforceability risk.		At-will statement contradicts fixed three-year Term: Section 7's at-will disclaimer is internally inconsistent with the defined multi-year renewable Term in Section 1(a).		No deadline for Release execution: Section 7(a) sets no deadline for delivery or execution of the Release, creating Section 409A timing exposure and uncertainty about when severance commences.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_5.md	5	Inconsistent survival of indemnity and obligations across termination routes: Section 5(b), Exhibit A, and Exhibit B contain inconsistent survival formulations, leaving a resigning trustee potentially unprotected and creating confusion about which provisions survive.		Liquidation-expense deductions conflict with principal-preservation covenant: Exhibits A and B authorize netting trust liquidation expenses from distributions, potentially reducing per-share principal in conflict with the express 'no reduction' acknowledgment in Section 1(i).		Erroneous cross-reference in Section 2(c) fee-payment sources: Section 2(c) uses the anomalous range 'Sections 1(i) through 1(j)' creating uncertainty about which distributions may be used to pay fees.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_6.md	6	Conflicting effective date / closing condition for equity grant: The letter conditions the grant on a future SPA closing while the Award Agreement fixes the Date of Grant as November 9, 2020, creating uncertainty about when the grant takes effect.		Ambiguous retainer commencement and payment-date language: The phrase 'commencing on the fifteenth day of each month following the fourth closing' is grammatically incoherent and unclear as to when payments actually begin, whether in advance or arrears, and when the annual period starts.		Material terms reside in unattached Plan and Lock-Up Agreement: Key provisions are incorporated by reference from the Plan and Lock-Up Agreement which are not attached or reproduced, leaving operative terms inaccessible to the Grantee.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_7.md	7	Conflicting effective date of restricted stock grant: The cover letter conditions the grant on the third SPA closing while the Award Agreement fixes an unconditional grant date of November 9, 2020, creating uncertainty about ownership, vesting start, and tax consequences.		Compensation contingent on undefined external SPA closings with no fallback: The retainer and stock grant are conditioned on closings under an unattached, unidentified SPA with no definition of the closings, no notification mechanics, and no fallback if closings never occur.		Garbled retainer payment commencement language: The phrase 'commencing on the fifteenth (15th) day of each month' is grammatically incoherent, leaving the first payment date indeterminate.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_8.md	8	Amendment clause omits Company consent: Paragraph 12 permits amendments and waivers without the Company's signature despite the Company being a party and principal beneficiary of the covenants.		Third-party beneficiary disclaimer conflicts with Underwriter rights: Paragraphs 3 and 6 grant Underwriters consent and enforcement rights, but Paragraph 14 disclaims third-party beneficiary status for non-parties.		Notice provision lacks addresses and effectiveness rules: Paragraph 18 specifies delivery methods but omits notice addresses, recipients, and deemed-receipt timing despite time-sensitive mechanics elsewhere.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_10.md	10	Vague 'approximately three months' Purchase Period duration and share-cap mismatch: The use of 'approximately' provides no objective boundary for the Purchase Period's end date, and a period that is not exactly three or six months falls outside the literal per-period share caps.		Circular definitions of 'Date of Offering' and 'Purchase Period': Each term is defined by reference to the other in Section 11, so neither independently fixes the start date of an offering, affecting option grant date and purchase price.		Undefined term 'Plan Period' in Section 13: Section 13 uses 'Plan Period' which is never defined; the operative defined term is 'Purchase Period,' creating uncertainty about the deemed-termination cutoff.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_13.md	13	Tier boundary gaps and ambiguity at threshold amounts: Proceeds of exactly US$15 million (and possibly US$10 million) fall into no tier due to exclusive boundary language ('less than'/'greater than'), and 'between' is ambiguous regarding endpoint inclusivity.		No sunset or outside date for the retention incentive: The letter contains no expiration date, outside date, or measurement period by which the triggers must occur, so the contingent obligation could persist indefinitely.		Undefined 'significant portion' trigger: Paragraph (b) uses 'significant portion' of CaPre Assets without any percentage, value threshold, or objective standard, making it disputable whether the trigger has occurred.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_14.md	14	Amendment clause omits Company consent: Paragraph 12 allows Sponsor and Insiders to amend or waive provisions without requiring the Company's consent despite the Company being a party.		Underwriters lack third-party beneficiary status: Underwriters receive contractual rights and acknowledgments but are neither parties nor expressly designated as third-party beneficiaries, leaving enforcement uncertain.		Termination clause ambiguity with multiple lock-up periods: Paragraph 17's reference to 'the earlier of' with two different Lock-up Periods creates ambiguity about when the agreement terminates and what survives.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_16.md	16	Unlawful blanket wage-deduction authorization: Blanket advance authorizations to deduct overpayments and notice shortfalls from salary risk contravening Fair Work Act s 324 requirements and may operate as a penalty.		Missing non-compete covenant despite headings and cross-references: Section 15 is titled 'Non-solicitation and Non-compete Obligations' and multiple clauses reference non-compete obligations, but no post-employment non-competition covenant is actually drafted.		Wrong entity executed the Agreement: The contracting employer is AECOM Australia Pty Ltd but the signature block binds the U.S. parent AECOM, creating execution and enforceability issues.	
https://github.com/MaryHu-YR/contract-review-sme-top3/blob/main/contracts/contract_21.md	21	Inconsistent ownership metrics and overlapping nomination tiers: Nomination rights in Section 1(a) use the Original Amount baseline while Sections 2 and 3 use then-outstanding voting power, and the 5% tier lacks an upper bound causing overlap with higher tiers.		MLSH parties have no rights, obligations, or notice addresses: MLSH 1 and MLSH 2 are named parties and signatories but no operative provision confers rights or imposes obligations on them, they lack notice addresses, and their status relative to the GTCR definition is unclear.		Mandatory Board actions conflict with fiduciary duties and bind nonparty directors: Multiple provisions attempt to mandate Board action without adequate fiduciary-duty savings language and purport to obligate individual directors who are not parties to the Agreement.	
